D_pass,D_rush,D_pts,O_pass,O_rush,O_pts,BD_pass,BD_rush,BD_pts,BO_pass,BO_rush,BO_pts,outcome
126.2,91.2,10.5,248.3,282.1,49.4,193.8,134.9,23.0,306.1,130.4,31.5,1
126.2,91.2,10.5,248.3,282.1,49.4,210.0,184.7,27.8,222.8,205.0,28.4,1
126.2,91.2,10.5,248.3,282.1,49.4,215.9,103.5,23.3,229.1,126.2,22.3,1
126.2,91.2,10.5,248.3,282.1,49.4,203.5,148.1,24.8,122.6,162.1,15.2,1
126.2,91.2,10.5,248.3,282.1,49.4,169.9,98.5,14.4,191.3,250.4,35.5,1
126.2,91.2,10.5,248.3,282.1,49.4,264.8,186.1,36.1,176.0,169.9,26.1,1
126.2,91.2,10.5,248.3,282.1,49.4,246.3,196.5,37.5,133.9,129.2,13.9,1
126.2,91.2,10.5,248.3,282.1,49.4,235.5,89.8,14.8,242.1,166.4,35.0,1
128.5,109.7,10.7,282.5,260.5,45.9,201.0,214.9,30.6,142.5,157.3,17.5,1
128.5,109.7,10.7,282.5,260.5,45.9,192.3,129.2,20.2,260.7,159.0,32.1,1
128.5,109.7,10.7,282.5,260.5,45.9,248.1,206.2,30.7,238.7,151.6,27.3,1
128.5,109.7,10.7,282.5,260.5,45.9,239.5,150.5,25.9,270.9,184.4,30.4,1
128.5,109.7,10.7,282.5,260.5,45.9,273.8,159.4,27.5,277.5,139.6,30.2,1
128.5,109.7,10.7,282.5,260.5,45.9,256.3,183.2,32.8,238.8,214.5,34.5,1
128.5,109.7,10.7,282.5,260.5,45.9,297.5,190.7,32.8,188.9,268.2,31.4,1
128.5,109.7,10.7,282.5,260.5,45.9,238.7,140.1,29.1,235.6,152.9,23.2,1
128.5,109.7,10.7,282.5,260.5,45.9,245.9,161.0,28.4,286.5,177.9,33.0,1
187.9,55.9,10.9,245.7,215.3,34.7,206.6,189.0,25.5,280.8,159.9,30.3,1
187.9,55.9,10.9,245.7,215.3,34.7,248.9,166.3,27.8,335.9,126.3,33.2,0
187.9,55.9,10.9,245.7,215.3,34.7,290.6,176.5,31.5,456.7,76.3,41.5,1
187.9,55.9,10.9,245.7,215.3,34.7,285.5,167.5,33.3,256.2,158.5,33.1,1
187.9,55.9,10.9,245.7,215.3,34.7,273.9,113.4,23.9,266.9,116.5,25.3,1
187.9,55.9,10.9,245.7,215.3,34.7,217.5,139.5,21.1,245.2,155.1,31.5,1
187.9,55.9,10.9,245.7,215.3,34.7,318.1,142.2,35.4,247.5,158.5,27.5,1
187.9,55.9,10.9,245.7,215.3,34.7,306.7,176.8,36.8,269.5,175.7,28.1,1
161.1,105.9,16.2,247.5,155.1,33.5,169.9,98.5,14.4,191.3,250.4,35.5,0
161.1,105.9,16.2,247.5,155.1,33.5,246.3,196.5,37.5,133.9,129.2,13.9,1
161.1,105.9,16.2,247.5,155.1,33.5,191.8,114.3,12.2,242.2,131.7,23.5,1
161.1,105.9,16.2,247.5,155.1,33.5,235.5,89.8,14.8,242.1,166.4,35.0,0
161.1,105.9,16.2,247.5,155.1,33.5,153.5,164.5,18.2,252.4,175.4,36.4,1
161.1,105.9,16.2,247.5,155.1,33.5,264.8,186.1,36.1,176.0,169.9,26.1,1
161.1,105.9,16.2,247.5,155.1,33.5,215.9,103.5,23.3,229.1,126.2,22.3,1
161.1,105.9,16.2,247.5,155.1,33.5,193.8,134.9,23.0,306.1,130.4,31.5,1
199.3,68.5,10.7,215.1,198.3,31.2,237.6,200.7,32.1,172.3,126.0,17.1,1
199.3,68.5,10.7,215.1,198.3,31.2,153.5,164.5,18.2,252.4,175.4,36.4,1
199.3,68.5,10.7,215.1,198.3,31.2,193.3,149.1,22.7,229.1,131.0,23.9,1
199.3,68.5,10.7,215.1,198.3,31.2,227.9,153.2,25.0,232.9,157.0,24.2,0
199.3,68.5,10.7,215.1,198.3,31.2,178.5,143.5,18.9,127.4,252.4,24.6,1
199.3,68.5,10.7,215.1,198.3,31.2,188.5,129.8,19.9,226.0,152.4,25.5,1
199.3,68.5,10.7,215.1,198.3,31.2,196.9,109.6,16.2,213.5,213.7,32.7,1
199.3,68.5,10.7,215.1,198.3,31.2,192.3,129.2,20.2,260.7,159.0,32.1,1
169.9,98.5,14.4,191.3,250.4,35.5,161.1,105.9,16.2,247.5,155.1,33.5,1
169.9,98.5,14.4,191.3,250.4,35.5,203.5,148.1,24.8,122.6,162.1,15.2,1
169.9,98.5,14.4,191.3,250.4,35.5,215.9,103.5,23.3,229.1,126.2,22.3,1
169.9,98.5,14.4,191.3,250.4,35.5,126.2,91.2,10.5,248.3,282.1,49.4,0
169.9,98.5,14.4,191.3,250.4,35.5,191.8,114.3,12.2,242.2,131.7,23.5,1
169.9,98.5,14.4,191.3,250.4,35.5,210.0,184.7,27.8,222.8,205.0,28.4,1
176.3,123.8,21.0,247.1,184.7,35.9,210.0,184.7,27.8,222.8,205.0,28.4,1
176.3,123.8,21.0,247.1,184.7,35.9,246.3,196.5,37.5,133.9,129.2,13.9,1
176.3,123.8,21.0,247.1,184.7,35.9,264.8,186.1,36.1,176.0,169.9,26.1,1
176.3,123.8,21.0,247.1,184.7,35.9,235.5,89.8,14.8,242.1,166.4,35.0,1
176.3,123.8,21.0,247.1,184.7,35.9,191.8,114.3,12.2,242.2,131.7,23.5,0
176.3,123.8,21.0,247.1,184.7,35.9,203.5,148.1,24.8,122.6,162.1,15.2,1
193.0,110.5,14.2,292.3,124.2,32.4,178.5,143.5,18.9,127.4,252.4,24.6,1
193.0,110.5,14.2,292.3,124.2,32.4,193.3,149.1,22.7,229.1,131.0,23.9,1
193.0,110.5,14.2,292.3,124.2,32.4,196.9,109.6,16.2,213.5,213.7,32.7,1
193.0,110.5,14.2,292.3,124.2,32.4,232.7,129.3,23.5,386.8,174.3,48.5,0
193.0,110.5,14.2,292.3,124.2,32.4,227.9,153.2,25.0,232.9,157.0,24.2,1
193.0,110.5,14.2,292.3,124.2,32.4,237.6,200.7,32.1,172.3,126.0,17.1,1
193.0,110.5,14.2,292.3,124.2,32.4,188.5,129.8,19.9,226.0,152.4,25.5,1
191.8,114.3,12.2,242.2,131.7,23.5,246.3,196.5,37.5,133.9,129.2,13.9,1
191.8,114.3,12.2,242.2,131.7,23.5,243.9,125.0,25.2,330.5,148.5,35.6,1
191.8,114.3,12.2,242.2,131.7,23.5,161.1,105.9,16.2,247.5,155.1,33.5,0
191.8,114.3,12.2,242.2,131.7,23.5,235.5,89.8,14.8,242.1,166.4,35.0,0
191.8,114.3,12.2,242.2,131.7,23.5,203.5,148.1,24.8,122.6,162.1,15.2,1
191.8,114.3,12.2,242.2,131.7,23.5,169.9,98.5,14.4,191.3,250.4,35.5,0
191.8,114.3,12.2,242.2,131.7,23.5,176.3,123.8,21.0,247.1,184.7,35.9,1
196.9,109.6,16.2,213.5,213.7,32.7,192.3,129.2,20.2,260.7,159.0,32.1,1
196.9,109.6,16.2,213.5,213.7,32.7,193.0,110.5,14.2,292.3,124.2,32.4,0
196.9,109.6,16.2,213.5,213.7,32.7,233.2,228.5,38.0,203.5,145.5,22.1,1
196.9,109.6,16.2,213.5,213.7,32.7,232.7,129.3,23.5,386.8,174.3,48.5,0
196.9,109.6,16.2,213.5,213.7,32.7,293.7,132.0,27.0,189.4,261.5,27.2,1
196.9,109.6,16.2,213.5,213.7,32.7,199.3,68.5,10.7,215.1,198.3,31.2,0
